Timestamp,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is 3+4?,Which image looks better?,Which image looks better?,Which image looks better?,How similar is the quality between the 2 images?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is 5 - 2?,Which image looks better?,Which image looks better?,Which image looks better?,How similar is the quality between the 2 images?,What is your Prolific ID?
8/24/2024 14:39:03,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,7,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,3,Model 1,Model 1,Model 2,3,P0010
8/24/2024 14:39:08,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 2,Model 2,2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 2,4,P0011
8/24/2024 14:40:11,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,7,Model 1,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 2,2,P0012
8/24/2024 14:40:13,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 1,Model 1,Model 2,4,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 2,4,P0013
8/24/2024 14:40:21,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,7,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 2,Model 2,3,P0014
8/24/2024 14:40:47,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,4,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 2,Model 1,4,P0015
8/24/2024 14:40:51,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 1,2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,3,Model 2,Model 1,Model 2,2,P0016
8/24/2024 14:42:00,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,7,Model 2,Model 1,Model 2,3,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 1,Model 2,3,P0017
8/24/2024 14:42:31,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 1,Model 2,7,Model 2,Model 1,Model 1,4,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,3,Model 1,Model 2,Model 1,4,P0018
8/24/2024 14:42:50,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 1,Model 1,4,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,3,Model 1,Model 2,Model 2,5,P0019
8/24/2024 14:43:18,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,3,Model 2,Model 1,Model 2,4,P0020
8/24/2024 14:44:51,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,4,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 1,Model 1,Model 1,4,P0021
8/24/2024 14:44:54,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,3,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,3,Model 2,Model 1,Model 2,2,P0022
8/24/2024 14:45:04,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 2,3,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,2,P0023
8/24/2024 14:45:06,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,7,Model 1,Model 1,Model 1,3,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,3,Model 2,Model 1,Model 2,3,P0024
8/24/2024 14:53:52,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 1,Model 2,Model 2,2,Model 1,Model 2,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 2,1,P0025
8/24/2024 15:00:19,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 2,Model 2,3,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,4,P0026
9/3/2024 11:38:39,Model 1,Model 2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,5,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 2,5,P0027
9/3/2024 11:40:13,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,7,Model 1,Model 2,Model 1,5,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 2,Model 2,5,P0028
9/6/2024 11:13:33,Model 1,Model 1,Model 2,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,7,Model 1,Model 1,Model 2,5,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,5,P0029
9/6/2024 11:15:02,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 2,Model 1,4,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,4,P0030
9/6/2024 11:15:03,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 1,Model 1,3,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 2,Model 1,4,P0031
9/6/2024 11:15:17,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 1,4,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,4,P0032
9/6/2024 11:15:43,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 1,Model 2,3,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 2,Model 2,3,P0033
9/6/2024 11:15:46,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 1,3,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,2,P0034
9/6/2024 11:15:51,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,7,Model 2,Model 1,Model 2,3,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,2,P0035
9/6/2024 11:16:09,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,7,Model 1,Model 1,Model 1,4,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,4,P0036
9/6/2024 11:16:23,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 2,Model 2,4,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 2,Model 2,4,P0037
9/6/2024 11:16:35,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,Model 2,Model 1,Model 2,7,Model 2,Model 2,Model 2,5,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 1,Model 1,Model 2,5,P0038
9/6/2024 11:17:07,Model 2,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 1,2,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 2,2,P0039
9/6/2024 11:17:21,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 1,Model 1,Model 1,4,P0040
9/6/2024 11:17:39,Model 1,Model 2,Model 2,Model 2,Model 1,Model 1,Model 1,Model 2,Model 2,7,Model 2,Model 1,Model 2,3,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,3,Model 1,Model 1,Model 2,4,P0041
9/6/2024 11:17:44,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,3,P0042
9/6/2024 11:17:51,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,Model 1,7,Model 1,Model 2,Model 2,4,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 1,Model 1,3,P0043
9/6/2024 11:17:59,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 2,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,2,P0044
9/6/2024 11:18:06,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 2,Model 1,1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 1,2,P0045
9/6/2024 11:18:09,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,Model 2,7,Model 2,Model 1,Model 1,1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 2,1,P0046
9/6/2024 11:18:16,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,7,Model 1,Model 2,Model 2,2,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 2,Model 2,1,P0047
9/6/2024 11:18:33,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,7,Model 2,Model 1,Model 1,3,Model 1,Model 2,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 2,3,P0048
9/6/2024 11:18:35,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 2,Model 1,2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 2,Model 1,2,P0049
9/6/2024 11:18:39,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,7,Model 2,Model 1,Model 2,3,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 2,Model 1,1,P0050
9/6/2024 11:18:42,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 1,Model 2,3,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 1,Model 1,4,P0051
9/6/2024 11:19:26,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,7,Model 2,Model 2,Model 1,3,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,3,Model 2,Model 1,Model 2,4,P0052
9/6/2024 11:19:31,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 1,Model 2,Model 1,2,Model 1,Model 2,Model 2,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 1,2,P0044
9/6/2024 11:19:49,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,2,P0053
9/6/2024 11:19:52,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 2,4,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 1,4,P0054
9/6/2024 11:20:06,Model 2,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,7,Model 1,Model 2,Model 1,4,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,3,Model 2,Model 2,Model 2,2,P0050
9/6/2024 11:20:14,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,2,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,3,Model 2,Model 1,Model 1,2,P0055
9/6/2024 11:20:19,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 1,4,Model 1,Model 2,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 1,Model 2,3,P0056
9/6/2024 11:20:34,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,3,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,3,Model 2,Model 2,Model 2,2,P0057
9/6/2024 11:20:45,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 2,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 2,2,P0058
9/6/2024 11:20:49,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 1,4,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 1,Model 1,4,P0059
9/6/2024 11:20:51,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 2,4,Model 1,Model 2,Model 1,Model 1,Model 1,Model 2,3,Model 1,Model 2,Model 1,4,P0060
9/6/2024 11:20:58,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,7,Model 1,Model 2,Model 2,5,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 1,Model 1,Model 1,5,P0061
9/6/2024 11:20:59,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 2,Model 1,3,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,3,Model 2,Model 1,Model 2,2,P0062
9/6/2024 11:21:43,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 1,Model 2,Model 2,4,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,3,Model 1,Model 1,Model 1,3,P0063
9/6/2024 11:21:49,Model 2,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,3,P0064
9/6/2024 11:21:51,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 2,3,Model 1,Model 2,Model 2,Model 1,Model 2,Model 2,3,Model 1,Model 2,Model 1,3,P0065
9/6/2024 11:22:00,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,7,Model 1,Model 2,Model 1,5,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,5,P0066
9/6/2024 11:22:02,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,7,Model 1,Model 1,Model 1,3,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,3,Model 2,Model 2,Model 1,4,P0067
9/6/2024 11:22:12,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 1,Model 2,Model 1,2,Model 1,Model 2,Model 1,Model 2,Model 1,Model 2,3,Model 2,Model 2,Model 2,3,P0068
9/6/2024 11:22:31,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 2,Model 1,3,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,2,P0069
9/6/2024 11:22:31,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 1,1,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 1,Model 2,1,P0070
9/6/2024 11:22:48,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,7,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,Model 2,Model 2,Model 1,3,Model 2,Model 1,Model 2,4,P0052
9/6/2024 11:22:58,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 1,3,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 1,3,P0071
9/6/2024 11:23:01,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,2,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,4,P0072
9/6/2024 11:23:02,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 1,3,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,2,P0073
9/6/2024 11:23:02,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,2,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,2,P0074
9/6/2024 11:23:03,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,Model 2,7,Model 1,Model 2,Model 1,4,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,3,Model 2,Model 1,Model 2,4,P0075
9/6/2024 11:23:15,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 2,4,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,3,Model 1,Model 1,Model 1,4,P0076
9/6/2024 11:23:15,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,7,Model 1,Model 1,Model 1,2,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,3,Model 2,Model 1,Model 2,3,P0077
9/6/2024 11:23:16,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,3,Model 2,Model 1,Model 2,2,P0078
9/6/2024 11:23:17,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 2,Model 1,Model 2,4,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,3,Model 1,Model 1,Model 1,3,P0079
9/6/2024 11:23:26,Model 1,Model 2,Model 2,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,7,Model 2,Model 1,Model 1,1,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 2,Model 1,Model 1,4,P0080
9/6/2024 11:23:26,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,3,Model 2,Model 1,Model 2,2,P0078
9/6/2024 11:23:49,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,7,Model 2,Model 2,Model 2,4,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,3,Model 1,Model 1,Model 1,4,P0081
9/6/2024 11:24:01,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,Model 1,Model 2,7,Model 1,Model 1,Model 2,4,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,4,P0082
9/6/2024 11:24:02,Model 1,Model 2,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,Model 1,7,Model 2,Model 2,Model 2,4,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,3,P0083
9/6/2024 11:24:07,Model 1,Model 2,Model 2,Model 2,Model 1,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 2,Model 1,2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 1,1,P0084
9/6/2024 11:24:10,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 2,2,Model 1,Model 1,Model 1,Model 1,Model 1,Model 1,3,Model 1,Model 1,Model 1,2,P0085
9/6/2024 11:24:22,Model 2,Model 2,Model 1,Model 2,Model 2,Model 1,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 1,4,Model 1,Model 2,Model 2,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 1,2,P0086
9/6/2024 11:24:28,Model 2,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 1,7,Model 1,Model 1,Model 1,3,Model 1,Model 2,Model 1,Model 1,Model 1,Model 1,3,Model 2,Model 1,Model 2,4,P0087
9/6/2024 11:24:30,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,7,Model 2,Model 1,Model 2,2,Model 2,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,4,P0088
9/6/2024 11:24:31,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,Model 1,Model 2,7,Model 2,Model 2,Model 1,4,Model 1,Model 1,Model 2,Model 1,Model 1,Model 2,3,Model 2,Model 2,Model 2,2,P0089
9/6/2024 11:24:44,Model 1,Model 2,Model 2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,2,Model 2,Model 2,Model 2,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,2,P0090
9/6/2024 11:24:48,Model 2,Model 1,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,3,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,3,P0091
9/6/2024 11:25:05,Model 2,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,3,Model 2,Model 1,Model 2,1,P0092
9/6/2024 11:25:11,Model 2,Model 2,Model 1,Model 1,Model 2,Model 1,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 2,4,Model 1,Model 1,Model 1,Model 1,Model 1,Model 2,3,Model 1,Model 1,Model 2,3,P0093
9/6/2024 11:25:12,Model 2,Model 2,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,3,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 2,3,P0094
9/6/2024 11:25:16,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,7,Model 2,Model 1,Model 2,4,Model 1,Model 2,Model 2,Model 2,Model 1,Model 1,3,Model 2,Model 1,Model 1,4,P0095
9/6/2024 11:25:18,Model 1,Model 2,Model 2,Model 1,Model 1,Model 2,Model 2,Model 2,Model 2,7,Model 1,Model 1,Model 2,1,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 1,1,P0096
9/6/2024 11:25:18,Model 2,Model 1,Model 1,Model 1,Model 1,Model 2,Model 1,Model 1,Model 1,7,Model 1,Model 1,Model 1,2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,3,Model 2,Model 1,Model 2,1,P0097
9/6/2024 11:25:21,Model 2,Model 1,Model 2,Model 1,Model 1,Model 2,Model 1,Model 2,Model 1,7,Model 2,Model 1,Model 2,3,Model 1,Model 1,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 2,Model 2,3,P0098
9/6/2024 11:25:37,Model 1,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 2,Model 1,7,Model 2,Model 1,Model 1,3,Model 1,Model 2,Model 1,Model 1,Model 2,Model 2,3,Model 2,Model 1,Model 1,2,P0099
