Timestamp,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is 2+3?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,Which image looks better?,What is your Prolific ID?
2025/10/04 4:29:29 PM AST,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 2,Option 1,Option 1,P0012
2025/10/04 4:29:29 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0013
2025/10/04 4:29:30 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,5,Option 1,Option 2,Option 2,Option 2,Option 1,P0014
2025/10/04 4:29:31 PM AST,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,5,Option 1,Option 2,Option 2,Option 1,Option 1,P0015
2025/10/04 4:29:31 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 1,5,Option 1,Option 1,Option 1,Option 2,Option 2,P0016
2025/10/04 4:29:35 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0017
2025/10/04 4:29:36 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0018
2025/10/04 4:29:39 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 1,Option 2,Option 1,P0019
2025/10/04 4:29:40 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,5,Option 2,Option 2,Option 2,Option 1,Option 1,P0020
2025/10/04 4:29:41 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 1,P0021
2025/10/04 4:29:44 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 1,Option 2,P0022
2025/10/04 4:29:45 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0023
2025/10/04 4:29:46 PM AST,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 1,Option 2,Option 2,Option 2,P0024
2025/10/04 4:29:47 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 1,Option 1,P0025
2025/10/04 4:29:48 PM AST,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0026
2025/10/04 4:29:52 PM AST,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0027
2025/10/04 4:29:53 PM AST,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 1,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0028
2025/10/04 4:29:54 PM AST,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 2,P0029
2025/10/04 4:29:54 PM AST,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 2,Option 2,Option 2,P0030
2025/10/04 4:29:56 PM AST,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0031
2025/10/04 4:29:57 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,5,Option 2,Option 2,Option 1,Option 1,Option 1,P0032
2025/10/04 4:30:00 PM AST,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 2,P0033
2025/10/04 4:30:06 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0034
2025/10/04 4:30:09 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,3,Option 2,Option 2,Option 1,Option 1,Option 2,P0035
2025/10/04 4:30:10 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 1,P0036
2025/10/04 4:30:13 PM AST,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 1,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0037
2025/10/04 4:30:14 PM AST,Option 1,Option 2,Option 2,Option 1,Option 1,Option 1,Option 2,Option 1,5,Option 2,Option 2,Option 2,Option 1,Option 1,P0038
2025/10/04 4:30:15 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 1,P0039
2025/10/04 4:30:17 PM AST,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0040
2025/10/04 4:30:18 PM AST,Option 2,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 1,Option 2,Option 2,P0041
2025/10/04 4:30:18 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0042
2025/10/04 4:30:19 PM AST,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 2,Option 1,Option 1,P0043
2025/10/04 4:30:20 PM AST,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 1,5,Option 1,Option 2,Option 2,Option 2,Option 2,P0044
2025/10/04 4:30:20 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 1,P0045
2025/10/04 4:30:22 PM AST,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,5,Option 1,Option 1,Option 2,Option 1,Option 1,P0046
2025/10/04 4:30:24 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 1,Option 2,P0047
2025/10/04 4:30:26 PM AST,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0048
2025/10/04 4:30:29 PM AST,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 1,Option 1,Option 1,Option 1,P0049
2025/10/04 4:30:32 PM AST,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 1,Option 1,5,Option 1,Option 2,Option 2,Option 2,Option 2,P0050
2025/10/04 4:30:32 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0051
2025/10/04 4:30:39 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 1,Option 1,Option 1,Option 2,Option 2,P0052
2025/10/04 4:30:40 PM AST,Option 2,Option 1,Option 2,Option 2,Option 2,Option 1,Option 2,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0053
2025/10/04 4:30:41 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0054
2025/10/04 4:30:43 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0055
2025/10/04 4:30:44 PM AST,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0056
2025/10/04 4:30:45 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0057
2025/10/04 4:30:46 PM AST,Option 1,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0058
2025/10/04 4:30:46 PM AST,Option 1,Option 1,Option 1,Option 1,Option 2,Option 1,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 1,P0059
2025/10/04 4:30:48 PM AST,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,5,Option 2,Option 2,Option 2,Option 1,Option 2,P0060
2025/10/04 4:30:49 PM AST,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 1,P0061
2025/10/04 4:30:55 PM AST,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0062
2025/10/04 4:30:57 PM AST,Option 1,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 1,P0063
2025/10/04 4:31:01 PM AST,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 1,5,Option 2,Option 1,Option 1,Option 1,Option 1,P0064
2025/10/04 4:31:05 PM AST,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,Option 1,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 1,P0065
2025/10/04 4:31:06 PM AST,Option 2,Option 1,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 2,P0066
2025/10/04 4:31:06 PM AST,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0067
2025/10/04 4:31:07 PM AST,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 1,P0068
2025/10/04 4:31:07 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 1,P0069
2025/10/04 4:31:07 PM AST,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0070
2025/10/04 4:31:08 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 1,Option 2,Option 2,P0071
2025/10/04 4:31:08 PM AST,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 1,Option 1,Option 1,Option 2,P0072
2025/10/04 4:31:09 PM AST,Option 2,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0073
2025/10/04 4:31:09 PM AST,Option 2,Option 2,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 1,P0074
2025/10/04 4:31:10 PM AST,Option 2,Option 1,Option 2,Option 1,Option 1,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0075
2025/10/04 4:31:12 PM AST,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0076
2025/10/04 4:31:13 PM AST,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 2,Option 2,Option 1,P0077
2025/10/04 4:31:16 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 1,Option 2,Option 1,P0078
2025/10/04 4:31:16 PM AST,Option 1,Option 2,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0079
2025/10/04 4:31:17 PM AST,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 2,P0035
2025/10/04 4:31:17 PM AST,Option 1,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0080
2025/10/04 4:31:17 PM AST,Option 1,Option 2,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 1,P0081
2025/10/04 4:31:19 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 2,Option 2,P0082
2025/10/04 4:31:19 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0083
2025/10/04 4:31:21 PM AST,Option 1,Option 2,Option 1,Option 2,Option 2,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 1,P0084
2025/10/04 4:31:35 PM AST,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0085
2025/10/04 4:31:46 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0086
2025/10/04 4:31:50 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,Option 1,5,Option 1,Option 1,Option 2,Option 1,Option 1,P0087
2025/10/04 4:32:07 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 1,Option 2,P0088
2025/10/04 4:32:10 PM AST,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 1,P0089
2025/10/04 4:32:29 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 2,P0090
2025/10/04 4:32:37 PM AST,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,Option 1,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0091
2025/10/04 4:32:41 PM AST,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 2,Option 2,Option 1,Option 2,P0092
2025/10/04 4:32:48 PM AST,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0093
2025/10/04 4:33:11 PM AST,Option 1,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0094
2025/10/04 4:35:33 PM AST,Option 2,Option 2,Option 1,Option 2,Option 2,Option 2,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 2,Option 2,P0095
2025/10/04 4:36:26 PM AST,Option 2,Option 2,Option 2,Option 2,Option 2,Option 1,Option 2,Option 2,5,Option 2,Option 2,Option 1,Option 2,Option 1,P0096
2025/10/04 4:38:11 PM AST,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,Option 2,5,Option 2,Option 1,Option 1,Option 2,Option 1,P0097
2025/10/04 4:40:46 PM AST,Option 2,Option 1,Option 1,Option 1,Option 1,Option 1,Option 2,Option 2,5,Option 1,Option 2,Option 1,Option 1,Option 2,P0098
2025/10/04 4:51:16 PM AST,Option 1,Option 2,Option 2,Option 1,Option 1,Option 2,Option 2,Option 1,5,Option 1,Option 2,Option 2,Option 2,Option 2,P0099
